_id,experience,location,salary,search_type,skills,title,url
643b98a5d01321d35da3a9d9,0-4 Yrs,"[""Pune""]",Not disclosed,HTML,"[""CSS"",""front-end coding"",""HTML Developer"",""JavaScript"",""xml"",""frontend development"",""html/css"",""end""]",HTML/CSS & Front End  Developer,https://www.naukri.com/job-listings-html-css-front-end-developer-prachi-balaji-mali-pune-0-to-4-years-150423002898
643b98a5d01321d35da3a9da,2-6 Yrs,"[""Mumbai"",""Chennai""]",Not disclosed,HTML,"[""Javascript"",""application"",""design"",""cs"",""development"",""application development"",""agile"",""html/css""]",Application Developer - HTML/CSS/Javascript,https://www.naukri.com/job-listings-application-developer-html-css-javascript-fidelity-it-mumbai-chennai-2-to-6-years-040423907436
643b98a5d01321d35da3a9db,5-8 Yrs,"[""Hyderabad/Secunderabad""]",10-20 Lacs PA,HTML,"[""css"",""javascript"",""ui development"",""angularjs"",""json"",""ui"",""html"",""cs""]","UI Developer (javascript, Html, CSS, Angularjs, Json)",https://www.naukri.com/job-listings-ui-developer-javascript-html-css-angularjs-json-tech-mahindra-hyderabad-secunderabad-5-to-8-years-010423900029
643b98a5d01321d35da3a9dc,4-6 Yrs,"[""Kolkata"",""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Ahmedabad"",""Delhi / NCR"",""Bangalore/Bengaluru""]",Not disclosed,HTML,"[""HTML"",""troubleshooting"",""jquery"",""javascript"",""cs"",""web designing"",""coding"",""sass""]",HTML/CSS Developer,https://www.naukri.com/job-listings-html-css-developer-prime-infosoft-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-4-to-6-years-231222910385
643b98a5d01321d35da3a9dd,3-5 Yrs,"[""Kolkata"",""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Ahmedabad"",""Bangalore/Bengaluru"",""Delhi / NCR""]",Not disclosed,HTML,"[""HTML"",""html/css"",""development"",""jquery"",""mis"",""css"",""troubleshooting"",""web technologies""]",HTML/CSS Developer,https://www.naukri.com/job-listings-html-css-developer-prime-infosoft-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-5-years-281222905763
643b98a5d01321d35da3a9de,2-5 Yrs,"[""Ahmedabad""]",Not disclosed,HTML,"[""insurance"",""integration"",""cs"",""development"",""angular"",""git"",""integration testing"",""software testing""]",Angular Ui Developer - Html/Css,https://www.naukri.com/job-listings-angular-ui-developer-html-css-sererra-ahmedabad-2-to-5-years-110423500492
643b98a5d01321d35da3a9df,2-5 Yrs,"[""Kochi/Cochin"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,HTML,"[""Magento"",""css"",""javascript"",""jquery"",""yii"",""mysql"",""codeigniter"",""ajax""]",Magento Developer - HTML / CSS3,https://www.naukri.com/job-listings-magento-developer-html-css3-l-a-consultancy-kochi-cochin-chennai-bangalore-bengaluru-2-to-5-years-140223908358
643b98a5d01321d35da3a9e0,1-3 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,HTML,"[""UI Development"",""cs"",""development"",""javascript"",""jquery"",""html/css"",""ui"",""ajax""]",UI Developer - HTML/CSS,https://www.naukri.com/job-listings-ui-developer-html-css-emploi-consultancy-bangalore-bengaluru-1-to-3-years-281222906263
643b98a5d01321d35da3a9e1,3-7 Yrs,"[""Bangalore/Bengaluru""]",Not disclosed,HTML,"[""UI"",""sql"",""web api"",""web technologies"",""design"",""cs"",""development"",""oops""]",UI Developer - HTML/CSS,https://www.naukri.com/job-listings-ui-developer-html-css-gallop-research-bangalore-bengaluru-3-to-7-years-301222909802
643b98a5d01321d35da3a9e2,2-4 Yrs,"[""Gurgaon/Gurugram""]",Not disclosed,HTML,"[""UI Development"",""angularjs"",""jquery"",""javascript"",""ui/ux"",""cs"",""adobe"",""ui""]",UI Developer - HTML / CSS / JavaScript,https://www.naukri.com/job-listings-ui-developer-html-css-javascript-emploi-consultancy-gurgaon-gurugram-2-to-4-years-281222906301
